print,type,snippet,headline,word.count,popular
1,Blog,"Vinod Khosla, the prominent venture capitalist, says Silicon Valley is in danger of losing its way if a Wall Street mentality takes hold. ""You want missionaries, not mercenaries,"" he writes in a guest post.",Vinod Khosla: Maintain the Silicon Valley Vision,929,0
1,Blog,"The actor and producer talks about the creation of Electric City, an animated series for Yahoo, which is shaped from his colorful memories of sci-fi culture past.",Apocalypse Soon: Tom Hanks Discusses His Web Series 'Electric City',1641,0
1,Blog,"The selection of Ms. Mayer, one of the top executives at Google, makes her one of the most prominent women in Silicon Valley and corporate America and is considered a surprising coup for Yahoo.",A Yahoo Search Calls Up a Chief From Google,1095,1
1,Blog,"By tackling a difficult corporate job while pregnant, Marissa Mayer, the new chief of Yahoo, is challenging the idea that senior executive ambitions and a woman's family life don't mix.","Yahoo Chief's Challenge? Corner Office, New Baby",434,0
1,Blog,"Across Silicon Valley, venture capitalists, entrepreneurs and former colleagues broadcast their enthusiasm for Marissa Mayer, the new chief executive of Yahoo, even as investor reaction was tepid.","As Silicon Valley Cheers Yahoo Chief, Wall Street's Reaction Is Muted",690,0
1,Blog,Balancing a new baby and a high-profile job may be more challenging than the new Yahoo chief executives blithe dismissal of the question suggests. But kudos to her and the company for wanting to make it work.,Marissa Mayer's Other Big New Job,465,1
1,Blog,"Chad Dickerson is the chief executive of Etsy, an online marketplace for handmade and vintage finds. Mr. Dickerson was formerly the director of Brickhouse, an advanced products team at Yahoo.","One on One: Chad Dickerson, C.E.O. of Etsy",781,0
1,Blog,"Marissa Mayers two new roles  chief executive and mother  mean that Silicon Valley, the heart of American innovation, could become the place where a more progressive attitude toward women and work takes root.",What Marissa Mayer Means for Silicon Valley Women,638,0
1,Blog,"Yahoo said in a regulatory filing that it would pay Marissa Mayer, its new chief executive, a base salary of $1 million a year  and then some.",Lavish Pay Helped Lure Yahoo Chief,538,0
1,Blog,"If we don't talk about how challenging it will be for someone with Ms. Mayer's advantages to work through pregnancy and childbirth, when will we start looking at how much harder it is for everyone else?",Don't Dismiss the Conversation About Marissa Mayer's Pregnancy,776,0
1,Blog,"With business booming, Caterpillar pushes workers for steep cuts. | In Switzerland, a treasury of art that avoids the tax man. | David Carr asks: What is Yahoo?","Business Day Live: At Caterpillar, Pressing Labor for Cuts",28,0
1,Blog,"There is little solid research on what makes an effective chief executive, which makes choosing a candidate the product of a board's vision and personalities rather than one of careful contemplation.",When Picking a C.E.O. Is More Random Than Wise,1119,0
1,Blog,"Not long after Facebook filed its first earnings report as a public company, a report that failed to impress investors, Mark Zuckerberg and a few other Facebook executives spoke at length with analysts and reporters on a conference call. Here are som",5 Takeaways From the Facebook Earnings Call,681,0
1,Blog,Marissa Mayer can earn at least $117 million over five years at Yahoo - and much more if Yahoo's stock price rises.,Adding Up Marissa Mayer's Pay at Yahoo,1188,0
1,Blog,"Ross Levinsohn, the executive who served as Yahoo's interim chief, confirmed on Monday that he was leaving the Internet company after being passed over to fill the spot permanently.",Levinsohn Confirms That He's Leaving Yahoo,449,0
1,Blog,"Some American Internet companies may be unpopular with investors these days, but a Chinese one is finding plenty of takers.",Alibaba Is Said to Be Close to Raising $8 Billion,830,0
1,Blog,The latest version of Apple's Safari browser changes how you search the Web. It's just something you'll have to adjust to.,Q&A: Searching for Search in Safari 6,294,0
1,Blog,"One of the earliest online consumer brands, Hotmail, is headed for retirement. Hotmail's owner, Microsoft, introduced a preview of a new Web-based e-mail service called Outlook.com, based on the name of the Microsoft application that millions of prof",Microsoft Reboots E-Mail Efforts With a Familiar Name,339,0
1,Blog,"Microsoft says its Bing search engine has caught up with, even surpassed, Google in search quality.",Counting the Mobile Costs for Bing,681,0
1,Blog,"Mitt Romney's arrival at a New Jersey fund-raiser capped a breakneck drive along New Jersey's highways followed by a surreal pursuit by an Orthodox wedding party, according to a pool report.",Romney Makes a Surprise Stop at a New Jersey Wedding,414,0
1,Blog,"According to a filing, Marissa Mayer, Yahoos new chief executive, was reviewing how to spend the proceeds that the company expects from its pending deal with the Alibaba Group.",Yahoo's Chief Reviews Plan for Alibaba Proceeds,319,0
1,Blog,"With the Dwight Howard trade saga finally coming to a close, the Orlando Magic are looking at a return package much less promising than anticipated.","With Dwight Howard Trade, Orlando Aims Low",816,0
0,Other,How a companys stock price became the be-all-end-all in the modern-day corporate culture.,Down With Shareholder Value,826,0
1,Blog,The Internet giant is buying the travel guide maker from John Wiley & Sons to expand its local and travel search results.,Google Plans to Buy Frommer's Travel Guides,1004,0
1,Blog,Claressa Shields pays homage to the coach that got her to the Olympics.,Claressa Shields Shares Gold,444,0
1,Blog,The technology reporters and editors of The New York Times scour the Web for important and peculiar items. Wednesday's selection includes a Curiosity Rover app and song parodies from fans of the game Minecraft.,"Today's Scuttlebot: Mars on View, and Odes to Minecraft",166,0
1,Blog,"One event is hosted by John A. Griffin, founder of Blue Ridge Capital, a hedge fund, and a former supporter of President Obama.",Romney Attends Two Fund-Raisers in the Hamptons,567,0
1,Blog,"Sameer Bhalotra, President Obama's former senior director of cybersecurity, is joining Impermium, a security start-up that wants to remove malware and spam from the social Web using ""big data"" analytical techniques. He is the latest cybersecurity exp",Former White House Cybersecurity Official Joins Start-Up,681,0
1,Blog,"Columnists said Augusta National finally did the right thing by admitting two female members, but some added that the move did little for equality.",Leading Off: Augusta National Inches Forward,586,0
1,Blog,"Moving Jimmy Kimmel up means moving ""Nightline"" back a full hour, past midnight - a fate ABC's news division has long been trying to avoid.",Jimmy Kimmel's Gain Is Felt as a Loss at 'Nightline',506,0
0,News,"The search giants efforts to recruit and promote more women have resulted in more hires, but not in the executive offices.",Search and Replace,1411,0
1,Blog,"Google's efforts to recruit and promote more women have resulted in more hires, but not in the executive offices.","Daily Report: At the Top of Google, Fewer Women",563,0
1,Blog,"David Chalian was recorded saying that Republican convention officials were ""happy to have a party with black people drowning.""",Yahoo Fires Bureau Chief After a Live Mic Picked Up His Comments,386,0
1,Blog,"David Chalian was fired from Yahoo for saying something senseless, which became another object lesson that in this media age: the mic is always on.",Is This Thing On? Yahoo Firing Proves the Perils of Feeding Many Platforms ,665,0
1,Blog,"The Private Pass program offers cardholders early access to tickets for sporting events and concerts, but in its latest version, there are also small group events with celebrities like Ms. Keys.",National Ad Campaign for Citibank Reward Program to Feature Alicia Keys,357,0
1,Blog,"The former owner of the Browns and the Ravens probably deserves a Hall of Fame berth on the merits, but he may never get it.",Art Modell and the Argument Over Honor,348,0
1,Blog,"At the TechCrunch Disrupt conference in San Francisco this week, the banter was not about a bubble, but rather the tech and Hollywood celebrities at the event.","At Tech Conferences, All Eyes Are on the Celebrities",490,0
1,Blog,Crimes Scene Extra: A photo that was used in a scam aimed at a would-be nanny turned out to be that of a California family with no idea that their picture was being used for a nefarious purpose.,"Real Photo, Fake Family",862,0
1,Blog,"The Alibaba Group said that it has closed on the repurchase of a 20 percent stake in itself from Yahoo, taking the first major step toward a long-held goal.","In Buyback Deal, Alibaba Gets Half of Yahoo's Stake",542,0
1,Blog,"Goldman Sachs may be readying the next generation of leaders. | Apple closed above $700 a share for the first time. | The new 1,004-foot tower known as One57, in Midtown Manhattan, may be the new haven for billionaires.",The Next Generation at Goldman,2067,0
1,Blog,"Some guy told him something, so it must be true.",Misinformed Monetary Mitt,357,1
1,Blog,"Several times in his career, Eli Manning has dealt with the loss of seemingly indispensable receivers.",Irreplaceable for Giants? It Applies Only to Eli,290,0
0,News,"Helping to process the staggering amount of Internet activity that occurs, data centers waste vast amounts of energy, belying the information industrys image of environmental friendliness.","Power, Pollution and the Internet",4383,1
0,News,"When Internet factories come to town, they can feel less like their sleek, clean and convenient image and more like old-time manufacturing.","Data Barns in a Farm Town, Gobbling Power and Flexing Muscle",3125,0
1,Blog,"""A cable eclipse of the networks,"" the power consumption of data centers, and what the expansion of Verizon's spectrum means for cable companies.","The Breakfast Meeting: Cable Reigns at the Emmys, and Power Games Behind the 'Cloud'",741,0
1,Blog,"The poor officiating by the replacement referees in the Packers-Seahawks ""Monday Night Football"" game was one of the more embarrassing episodes in N.F.L. history.","After Monday Night Fiasco, a Call for Goodell to Apologize",791,1
1,Blog,"The replacement officials have been abysmal, but the loss of part of Matt Schaub's ear is an example of the N.F.L.'s biggest long-range problem.",N.F.L. Has Bigger Problems Than Officials ,652,0
1,Blog,Think your Web mail service might be down? Here's how to check on it.,Tip of the Week: Checking the Mail Service,167,0
1,Blog,"To the checklist of signs that the technology industry has entered a ""post-PC"" era, add this: Google's stock market value passed that of Microsoft's for the first time on Monday.",Google Leapfrogs Microsoft in Market Value,767,0
1,Blog,"Marissa Mayer, Yahoo's chief executive, gave birth to a baby boy on Sunday. Ms. Mayer has said she plans to return to work within two weeks and work remotely during her maternity leave. A Yahoo spokeswoman confirmed the birth on Monday morning.",Yahoo Chief Marissa Mayer Welcomes New Baby Boy,367,0
1,Blog,An analysis of preseason picks from 133 baseball writers at 19 publications and sites reveals that not a single writer predicted the A's or the Orioles to make the playoffs.,The Playoff Picture: How Did the Pundits Do?,861,0
1,Blog,"Google may be retiring its iGoogle service next year, but other sites offer personalized start pages.",Q&A: Moving On From iGoogle ,158,0
1,Blog,"In a speech, Yahoo's former chief executive, Carol Bartz, spoke about her regrets about the board that fired her, gave advice for the company's new chief executive and celebrated being able to buy her own bling.",Carol Bartz on the Yahoo Board That Fired Her and Advice for Marissa Mayer ,573,0
1,Blog,"Romney calls Dodd-Frank ""the biggest kiss"" for ""New York banks I've ever seen."" | T-Mobile USA's deal for MetroPCS puts more pressure on Sprint Nextel. | Hewlett-Packard's weak stock price is increasing deal speculation. | Daniel S. Loeb of Third Poi",Dodd-Frank Makes a Debate Cameo,1935,0
1,Blog,"For years, young people have frequented Web sites promoting anorexia and bulimia seeking inspiration and tips on staying thin. Now, groups focused on recovery from eating disorders are fighting back.",Struggling With Anorexia on the Web,616,0
0,News,"A comics heart beats inside Dick Costolo, the nonconforming chief executive of Twitter who may well hold the key to the companys success.","A Master of Improv, Writing Twitters Script",2699,0
0,News,The button that stands between machine and master.,Who Made That Escape Key?,414,1
0,Other,Its such a tough time to be a Democrat. But at least they have Joe Biden stepping up to the challenge!,Democrats at the Deep End,809,1
1,Blog,"Marissa Mayer announced Monday that she had hired Henrique De Castro, a vice president at Google, as Yahoo's chief operating officer. At Google, Mr. De Castro ran advertising for Google's publisher and commerce partners. Luring advertisers to Yahoo w","Yahoo's C.E.O., Marissa Mayer, Returns to Work With New C.O.O.",305,0
1,Blog,"SoftBank, a Japanese Internet and communications company, is betting that it can break the dominance of Verizon and AT&T in the United States.",Deal to Buy Sprint Is SoftBank's Biggest Gamble,885,0
1,Blog,"Providence Equity Partners confirmed on Friday that it had sold off its 10 percent stake in Hulu, leaving the online video service under the control of major media companies.",Providence Confirms Its Exit From Hulu,265,0
1,News,The sudden decline of game attendance could be the result of a new playoff format that forces the Yankees to play on consecutive days.,Attendance Down for Yankees,462,0
1,Blog,An examination of Ravens linebacker Ray Lewis that focuses on his transformation off the field.,Looking at Ray Lewis's Legacy ,244,0
1,Blog,"AOL is hoping to reign again as a king of e-mail. But instead of trying to get people to switch back to its service, it is rolling out a new service called Alto that will help people manage their existing in-boxes.","AOL's Got Mail, Again, With Alto",402,0
1,Blog,Cloudera and other software companies are trying to create programs that bring complex data analysis tools to a more mainstream audience.,Big Data in More Hands,437,0
1,Blog,"Four additional brands are joining the Coca-Cola Company and the musician Will.i.am in an environmental initiative called Ekocycle, which seeks to develop creative ways of recycling plastic beverage bottles.",Four More Climb Aboard the Coca-Cola-Will.i.am Ekocycle,427,0
1,Blog,"Marissa Mayer, Yahoos chief, announced on Thursday that the Internet company had purchased Stamped, a start-up focused on mobile products.",Mayer Strikes First Deal at Yahoo With Acquisition of Stamped,353,0
1,Blog,"The family of China's prime minister has had remarkable business success in the years since he came to power. | The coup at Citigroup that toppled Vikram S. Pandit was meticulously planned over the last several months. | Xstrata has set up ""a diaboli",Wealth and Politics Converge in China,1900,0
1,Blog,"Even with the storm, confidence rises and the jobs numbers improve. Does your start-up need a public-relations firm? Is the iPhone financially irresponsible? And what will you do differently before the next storm?",This Week in Small Business: Good News for the Next President,1555,0
1,Blog,"A crash course in Ohio, the ultimate swing state: geography, history, law and even religion (the Amish vote).",App Snapshot: Ohio Ground Zero,211,0
1,Blog,Bill Corcoran started the blog Corksphere as a way to keep the wars in Iraq and Afghanistan from being forgotten. But waning interest from the public and the news media have persuaded him to stop posting.,A Blog That Kept Time in Afghanistan and Iraq Plans to Shut Down,876,0
1,Blog,"The lying game: Fact checking, as it turns out, is more of a cottage industry than a civic corrective.",A Last Fact-Check: It Didn't Work,846,0
1,News,"F.B.I. agents investigating a complaint discovered e-mail exchanges between Paula Broadwell and David H. Petraeus that revealed their affair, a government official said.",F.B.I. Said to Have Stumbled Into News of Petraeus Affair,723,1
1,Blog,A one- or two-word search in some search engines brings instant answers about local sunrise and sunset times.,"Tip of the Week: Sunrise, Sunset  at a Glance",113,0
1,Blog,"A hacker claimed to have dumped hundreds of records for Adobe employees and users of the company's software, including people at Google, NASA and the United States military, as well as academic institutions. The hacker said the records were from an A",Hacker Claims to Have Breached Adobe,305,0
1,Blog,"Punters don't go to the Pro Football Hall of Fame, so this week's flurry of articles on the subject is as close as they get.",Belichick and Kluwe Go to Bat for Ray Guy ,490,0
1,Blog,"The 1984 cult film ""Red Dawn"" had Soviet troops invading the United States. A remake of the movie replaced the Soviets with Chinese invaders, but with China now the world's second-largest film market, the producers have digitally transformed the bad ",Remake of 'Red Dawn' Changes Its Political Hue,896,0
1,Blog,"President Obama has the opportunity, in nominating a new leader of the Securities and Exchange Commission, to pick someone committed to change rather than to protecting the biggest banks, an economist writes.",Mary Miller vs. Neil Barofsky for the S.E.C.,1201,0
1,Blog,Sports journalists are trying to keep up with the colleges that are quitting their conferences to join new ones.,Leading Off: Teams Join Coaches on the Carousel,504,0
0,News,"President Obama said that he hoped to resolve a fiscal impasse before Christmas, but lawmakers should not wait to preserve current rates for income under $250,000.",Obama Tilts Tax Debate Away From Spending Cuts,1030,0
1,Blog,It's Cadillac ATS vs. BMW 335i. Which one will win?,Showdown at the BMW Test Track,287,0
0,News,Smartphone apps that use the Internet to send text messages are forcing wireless providers to change pricing models.,"Apps Redirect Text Messages, and Profits, From Cellular Providers",1185,0
1,Blog,"The claim that Ray Guy was far superior to his contemporaries, at any point in his career, is not supported by the evidence.",A Closer Look at Ray Guy's Hall of Fame Candidacy,1605,0
1,Blog,"The hedge fund, ensnared in the governments insider-trading investigations, faced withdrawals of more than a quarter of its assets.",Diamondback to Close After Investors Withdraw $520 Million,672,0
0,Other,"The extreme microcategorization of consumers means advertisers can bid for the chance to show you exactly what you might be interested in. The trouble is, thats all youll see.",Who Do Online Advertisers Think You Are?,4317,1
1,Blog,The two media companies will promote each other's online sports offerings and will work together to produce original video content for the Web.,"In Bid for Sports Dominance, Yahoo and NBC Make Web Deal",487,0
1,Blog,Car sales are up. Gas prices are up. Holiday parties are back. And Montgomery Burns explains all.,This Week in Small Business: The Pope's on Twitter (Are You?),1656,0
1,Blog,"Technology sectors like mobile security, data analytics and storage companies and mobile payment systems, which previously elicited a shrug, are suddenly finding millions of dollars of investment coming at them.",Wallflowers of Silicon Valley Get Asked to Dance,1176,0
1,Blog,Yahoo on Wednesday announced a long-awaited update to Flickr's mobile experience. So what's next for one of the first photo-sharing services?,Flickr Has the Opportunity to Become the Next Flickr,381,0
1,Blog,"Yahoo says two directors will be leaving the board, while Max Levchin, a former senior executive at PayPal, will be joining it.","Yahoo Shakes Up Its Board, Adding Levchin",490,0
0,Other,"Googles aim isnt only to sell ads, its to collect personal data: yours.",The Emperor of All Identities,827,0
1,Blog,"The Jets haven't achieved much this season, but they have managed to unite people in feeling sympathy for Tim Tebow.","Rallying Around Tebow, as Jets Run From Him ",915,0
1,Blog,"If you find your online address book is full of duplicate entries, Google's Gmail, Yahoo Mail and Microsoft's Hotmail/Outlook.com services all offer tools for quick housekeeping.",Tip of the Week: Clean Up Your Web Mail Address Book,291,0
1,Blog,Episodes like the school killings in Connecticut put an unflattering spotlight on the year in video games.,Game Theory: A Year When Real-World Violence Crept Into Play,1044,1
1,Blog,"It was a busy year for Wall Street, and the Deal Professor offers his choices for the best and worst deals of 2012.",The Triumphs and Failures of Deal Makers in 2012,1301,0
1,Blog,"Tim Tebow denied speculation that he refused to play in the Wildcat for the Jets, the latest humiliating episode for him in New York.",Tebow Expresses Disappointment at Being Called Quitter,1556,0
1,Blog,"The war in Afghanistan and worldwide counterterrorism efforts were absent from polls that ranked 2012's top stories, reflecting the scant coverage of the issues as well as the public's lack of interest.","Among Top News Stories, a War Is Missing",458,0
1,Blog,Analysts and prospective buyers are preparing for horse trading to begin over the company's newspapers.,"Tribune, Bankruptcy Over, Is Expected to Sell Assets",849,0
1,Blog,"The year in deals brought highs like the turnaround at A.I.G., the noble mea culpa at JPMorgan Chase and the potentially promising future of Yahoo.","Hold Your Applause, Please, Until After the Toasts",1369,0
1,Blog,"South Carolina defensive end Jadeveon Clowney would probably be one of the top picks in the N.F.L. draft, but there's one problem: he's not eligible.",Stop Jadeveon Clowney? Only the N.F.L. Can,373,0
0,Other,"Companies like Apple have drawn scrutiny because of their penchant for shifting profits overseas, resulting in low American tax bills.",Inquiry Into Tech Giants Tax Strategies Nears End,872,0
1,Blog,"Jason Kilar, who helped build Hulu into a popular online video site, said he would step down, and provided no indication of what he would do next.","Hulu's Chief Is Leaving, Raising Questions About Its Future",948,0
1,Blog,"Clipboard, founded by Gary Flake, has echoes of Pinterest. But, although Clipboard members can share their galleries with others, the company doesnt push public sharing as hard as others.",A Start-Up Clips the Web but Doesn't Broadcast It ,480,0
1,Blog,Daniel S. Loebs Third Point disclosed that it had acquired more than 8.2 percent of the nutritional supplements company. That puts him at odds with his friend William A. Ackman.,Just Business: 2 Hedge Fund Rivals Clash Over Herbalife,1097,0
1,Blog,"Daniel Loeb, the Third Point chief, and William A. Ackman are locked in a battle over, of all things, a nutritional supplements company that makes protein bars and energy shakes.",Just Business: 2 Hedge Fund Rivals Clash Over Herbalife,1096,0
1,Blog,"Beats has been slow to reveal its plans for its new music service Daisy, but two recently announced hires should signal to Spotify, Rhapsody and others that Beats is serious about challenging them.","With 'Daisy,' Beats Electronics Bets on Digital Music",547,0
1,Blog,The 28-year-old rookie Chris Copeland replaced Carmelo Anthony in the Knicks' starting lineup for Thursday's game against the Pacers while Anthony served a one-game suspension.,Knicks Try to Focus as Anthony Has to Sit ,698,0
1,Blog,"About a third of Americans say they have used the Internet to diagnose a medical condition for themselves or someone else, according to a new study from the Pew Research Center.",Turning to the Web for a Medical Diagnosis,239,0
1,Blog,Thomas Weisel was Lance Armstrongs biggest financial backer and the single individual most responsible for the money machine that propelled Mr. Armstrongs career.,The Banker Who Put His Faith in Armstrong,1046,0
1,Blog,"Goldman Sachs posts fourth-quarter profit of $2.89 billion. | JPMorgan Chase reports a record profit of $5.7 billion for the fourth quarter. | Goldman's results may translate into higher bonuses for its employees, but the mood is more dour at Morgan ",Goldman Profit Blows Through Expectations,1769,0
1,Blog,"SurveyMonkey, which provides online surveys, closed on a new round of financing that values the company at about $1.35 billion.",SurveyMonkey Raises Nearly $800 Million While Staying Private,353,0
1,Blog,"Thomas Weisel, who bankrolled Lance Armstrong through seven Tour de France wins, said in his first public comment on the matter that he never personally saw an instance of doping on the team.",Banker Behind Armstrong Says He Was Unaware of Doping,1184,0
1,Blog,An investment by Microsoft  if it comes to pass  could be enough to push a leveraged buyout of the struggling computer maker over the goal line.,Microsoft May Back Dell Buyout ,749,0
1,Blog,Blowout bashes hosted by prominent companies including Google and Nike are noticeably missing.,"At Davos, Is the Party Over?",355,0
1,Blog,Sixty-one sites participated in the rankings accuracy challenge run in conjunction with the Fantasy Sports Trade Association.,Fantasy Football Accuracy Rankings for 2012,978,0
1,Blog,An investment by Microsoft  if it comes to pass  could be enough to push a leveraged buyout of the struggling computer maker over the goal line.,Daily Report: Microsoft May Back Dell Buyout,368,0
1,Blog,Is the concept outdated or even more important in the new media era?,The Raging Debate Over Objectivity and Transparency,446,0
1,Blog,"Further film study, medical evaluations, pro day workouts and the combine will all have a major say when it comes to the ultimate destinations of these N.F.L. prospects.","Senior Bowl's Surprises, Polarizing Prospects and Small-School Standouts",1763,0
0,Other,"From a look at some investigations in college sports, it seems as if abusing the legal system is all in a days work.",The N.C.A.A.s Ethics Problem,814,0
1,Blog,"Corporate profits, what's in the refrigerator, why M.B.A.'s fail, and do you consider your business socially conscious?","This Week In Small Business: 1,000 New Bankers",1520,0
0,Other,"Dead or not, courtship was never all its cracked up to be, and theres no one playbook for pairing off.",Manti and the Mating Game,819,0
1,Blog,"As leader of the S.E.C., Mary Jo White may be required to recuse herself from some important decisions. | A former senior trader at the Jefferies Group is charged with defrauding clients and the government. | A scandal involving an old Italian bank i",Is S.E.C. Nominee Too Connected?,1918,0
1,Blog,"Tami Reller, the chief marketing officer and chief financial officer of Microsoft's Windows division, said the company is pleased with the early progress of Windows 8 and predicted that a host of new touch screen devices featuring the operating syste",Microsoft's Reller Talks Windows 8 Sales,566,0
1,Blog,"If the deal is completed, the question turns to whether taking the personal computer maker private will accomplish what years of previous turnaround efforts have not.",Dell Nears a Buyout of More Than $23 Billion,813,0
0,Other,An unexpectedly large number of high-technology start-ups are valued at $1 billion or more.,"A Billion-Dollar Club, and Not So Exclusive",1085,0
1,Blog,"The computer maker, seeking to revive itself after years of decline, said on Tuesday it had agreed to go private in a deal led by its founder and the investment firm Silver Lake.",Dell in $24 Billion Deal to Go Private,1263,1
1,Blog,Dell shareholders take note. Many management-led buyouts have been successful enriching management at shareholder expense. A look at some of the worst ones shows why.,Reasons to Be Suspicious of Buyouts Led by Management,1179,0
1,Blog,"The $24.4 billion buyout of Dell sets a number of private equity records. Here is a look at the buyout boom, bust and recovery.",A Record-Breaking Buyout of Dell,1091,0
1,Blog,"If your smartphone screen is difficult to see comfortably, you can often adjust the text size and turn on a screen-magnification feature in the software's accessibility settings.",Q.& A.: Making Smartphones Easier to Read,276,0
1,Blog,"Small Demons catalogs and cross-indexes the people, places and things that appear in books, encouraging readers to explore a world one of the founders calls ""the storyverse.""","With This Start-Up, Your Favorite Novel Never Has to End",761,0
1,Blog,"EveryBlock, a pioneering Web site for hyperlocal data-driven journalism, shut down on Thursday, disappointing longtime fans.",NBC Shuts Down Hyperlocal Web Site,617,0
1,Blog,Consumer experts suggest going to a local florist for delivery of Valentines Day flowers rather than a big name online floral site.,Avoiding Valentine's Day Flower Woes,628,0
1,Blog,David Pogue is mystified why Windows 8 forces a user to search for nearly everything.,How to Use Windows 8? Search for It,1005,1
1,Blog,"Microsoft plans to unveil a new advertising campaign that will highlight research that shows most people don't know that Web e-mail providers like Google scan the contents of their messages to deliver personalized ads to them and, when they do find o",Microsoft Attacks Google on Gmail Privacy,644,0
0,News,"Miami, already under investigation by the N.C.A.A., is drawing interest from Major League Baseball as it studies reports linking players to performance enhancers.",Drug Inquiry Focuses on Athletes Ties to Team at University of Miami,986,0
1,Blog,"A Super Bowl promotion costs one business owner $600,000 in free furniture. Manufacturing surges, home prices rise, and Mark Zuckerberg offers lessons in entrepreneurship. Will you notice when the Postal Service stops delivering on Saturdays?",This Week in Small Business: Free Furniture!,1637,0
1,Blog,"Executives at Samsung Electronics emphasize the company's market research and design processes. But the other crucial parts to the company's success are its huge investments in capital spending and marketing, far exceeding any other consumer electron",Samsung vs. Apple: The Capital Spending Battlefield,675,0
1,Blog,"Ms. White also disclosed that her husband would relinquish his partnership at Cravath, Swaine & Moore, converting his interest in the firm from an equity to non-equity status.",S.E.C. Nominee Discloses Law Firm Wealth,556,0
1,Blog,"The tendency of corporations to stockpile cash abroad, rather than bringing it home, paying taxes and distributing it to shareholders, is a growing problem.",The Growing Corporate Cash Hoard,1025,0
1,Blog,"T. Rowe Price says it opposes the $24.4 billion takeover bid for Dell as it currently stands, while Southeastern Asset Management has taken additional steps to fight the management buyout.",Big Investors Stiffen Their Resistance to Dell's Offer ,935,0
1,Blog,"America's role as an innovation leader is strongly tied to the talented foreigners it attracts to study and work, and immigration policy should foster their risk-taking, an economist writes.",Immigration and Innovation,1232,0
